epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,757.234,0.60579,2.30566,0.41504,0.64315,1.08374,0.93431,0.93833,0.96671,0.90051,0.75792,0.75092,0.70436,0.31575,0.41903,3.85277,0.19838,0.46759,0.9324,0.000802208,0.000802208,0.000802208
61,769.725,0.59299,2.3208,0.41215,0.6314,1.07487,0.96195,0.93216,0.97181,0.9019,0.78094,0.74734,0.72787,0.30912,0.40446,3.94036,0.18007,0.40251,0.91386,0.000795954,0.000795954,0.000795954
62,782.209,0.59962,2.34612,0.42459,0.62343,1.08304,0.94373,0.93027,0.96223,0.89308,0.7827,0.76834,0.73424,0.30453,0.41699,3.90578,0.17471,0.43372,0.94155,0.000789628,0.000789628,0.000789628
63,794.491,0.58969,2.29887,0.40811,0.62965,1.07488,0.92344,0.92836,0.9702,0.89084,0.84902,0.7852,0.8253,0.3544,0.40633,3.56438,0.16588,0.40791,0.92645,0.000783231,0.000783231,0.000783231
64,807.166,0.5943,2.2649,0.40506,0.65329,1.09381,0.93698,0.96456,0.98303,0.91107,0.80721,0.82861,0.78249,0.34867,0.41164,3.56889,0.20314,0.39365,0.92901,0.000776766,0.000776766,0.000776766
65,819.775,0.60428,2.24212,0.39258,0.63096,1.09557,0.96504,0.91831,0.97233,0.88451,0.73458,0.74456,0.66585,0.29411,0.44935,3.91854,0.19841,0.41649,0.93906,0.000770234,0.000770234,0.000770234
66,832.082,0.60818,2.36783,0.40275,0.64683,1.0738,0.90558,0.92153,0.96069,0.87065,0.71631,0.70626,0.63764,0.27654,0.43103,3.87496,0.16971,0.46924,0.93789,0.000763637,0.000763637,0.000763637
67,844.544,0.59156,2.22089,0.40284,0.62374,1.08118,0.94655,0.97233,0.9705,0.89774,0.80438,0.82653,0.79344,0.33467,0.42201,3.66132,0.18256,0.41104,0.93348,0.000756976,0.000756976,0.000756976
68,856.903,0.59729,2.14036,0.41262,0.62546,1.09326,0.95627,0.96623,0.97908,0.91379,0.81729,0.81345,0.78584,0.35508,0.41296,3.61073,0.17714,0.3917,0.92368,0.000750252,0.000750252,0.000750252
69,869.467,0.58791,2.21012,0.40516,0.62422,1.07688,0.93995,0.93659,0.96691,0.90726,0.79627,0.72628,0.71243,0.31222,0.415,3.91352,0.18446,0.40485,0.92683,0.000743468,0.000743468,0.000743468
70,881.916,0.57766,2.30478,0.39561,0.59338,1.06725,0.91786,0.9605,0.97338,0.90271,0.80668,0.75724,0.73657,0.33876,0.42394,3.70272,0.1726,0.41078,0.92777,0.000736625,0.000736625,0.000736625
71,894.4,0.59859,2.26362,0.39126,0.62986,1.08626,0.94102,0.94038,0.97577,0.89616,0.80025,0.79919,0.76632,0.35496,0.44225,3.53903,0.16743,0.41487,0.96555,0.000729725,0.000729725,0.000729725
72,906.831,0.61123,2.29021,0.39589,0.60235,1.09504,0.9412,0.94578,0.96644,0.90526,0.81527,0.81829,0.7611,0.32122,0.40599,3.62939,0.16449,0.38101,0.93177,0.00072277,0.00072277,0.00072277
73,919.296,0.60237,2.18818,0.39569,0.59555,1.07651,0.93158,0.92538,0.96092,0.88769,0.80802,0.76884,0.77025,0.34854,0.42895,3.61214,0.19138,0.46115,0.92936,0.000715761,0.000715761,0.000715761
74,931.8,0.56691,2.14685,0.39745,0.5753,1.0658,0.97418,0.92416,0.96039,0.898,0.84122,0.82841,0.80844,0.35595,0.42867,3.47341,0.17977,0.41516,0.94437,0.0007087,0.0007087,0.0007087
75,944.034,0.56127,2.12647,0.40029,0.57606,1.06828,0.97055,0.9135,0.96983,0.88996,0.80941,0.79712,0.76313,0.3233,0.43162,3.76968,0.17508,0.38534,0.93782,0.000701588,0.000701588,0.000701588
76,956.546,0.57366,2.18999,0.39134,0.58426,1.0635,0.97153,0.96122,0.97784,0.89883,0.82545,0.80408,0.75365,0.33422,0.43238,3.77133,0.20786,0.41619,0.95573,0.000694428,0.000694428,0.000694428
77,969.266,0.5747,2.09084,0.38771,0.59698,1.0724,0.96126,0.97233,0.98636,0.91298,0.832,0.81847,0.79908,0.33864,0.40982,3.66475,0.15251,0.37503,0.93889,0.000687222,0.000687222,0.000687222
78,981.849,0.54308,2.25519,0.38556,0.5653,1.04664,0.9761,0.96012,0.98179,0.90688,0.81526,0.80087,0.77215,0.36194,0.38153,3.51061,0.18189,0.37154,0.89209,0.00067997,0.00067997,0.00067997
79,994.211,0.55846,2.07084,0.39773,0.58069,1.06464,0.94515,0.93236,0.97709,0.90311,0.86778,0.77928,0.80401,0.36247,0.40776,3.42637,0.19354,0.3794,0.91536,0.000672675,0.000672675,0.000672675
80,1006.69,0.57411,2.00366,0.40215,0.58963,1.08125,0.95642,0.95272,0.98483,0.90736,0.82456,0.82653,0.80625,0.38833,0.40428,3.40281,0.1749,0.34611,0.94674,0.000665339,0.000665339,0.000665339
81,1019.35,0.53658,2.1082,0.38043,0.55325,1.03923,0.94314,0.95318,0.98115,0.90694,0.82171,0.80234,0.79177,0.36879,0.39167,3.39963,0.18624,0.37726,0.92085,0.000657963,0.000657963,0.000657963
82,1031.76,0.53599,2.04235,0.39622,0.54589,1.05773,0.98123,0.96673,0.98451,0.92113,0.84826,0.83672,0.82995,0.39879,0.37174,3.21529,0.17346,0.34411,0.91106,0.00065055,0.00065055,0.00065055
83,1045.17,0.53743,2.02405,0.37638,0.54773,1.04631,0.98033,0.96923,0.98456,0.9136,0.89256,0.84886,0.84746,0.40454,0.41895,3.24749,0.18705,0.36839,0.92738,0.000643101,0.000643101,0.000643101
84,1057.55,0.54949,1.97991,0.3772,0.541,1.04244,0.97388,0.96709,0.98582,0.91473,0.87957,0.86227,0.83335,0.39768,0.37661,3.23213,0.18165,0.35324,0.89879,0.000635617,0.000635617,0.000635617
85,1069.88,0.56055,1.87915,0.38508,0.57251,1.06711,0.9847,0.96153,0.98429,0.91761,0.86373,0.84351,0.82037,0.40346,0.35268,3.10863,0.17162,0.35576,0.89197,0.000628101,0.000628101,0.000628101
86,1082.38,0.54126,1.95187,0.37561,0.54809,1.06022,0.97008,0.9477,0.98253,0.91192,0.84262,0.82195,0.78497,0.39083,0.37279,3.22716,0.19786,0.37347,0.92111,0.000620555,0.000620555,0.000620555
87,1094.81,0.5435,1.95763,0.37513,0.53863,1.05295,0.96792,0.95272,0.97262,0.92413,0.8101,0.79428,0.73506,0.36498,0.37175,3.257,0.16813,0.35035,0.89317,0.000612981,0.000612981,0.000612981
88,1107.31,0.55126,1.93597,0.37906,0.55456,1.04917,0.97967,0.96252,0.97602,0.92704,0.83295,0.81847,0.74246,0.3807,0.37512,3.11489,0.18852,0.36095,0.89725,0.00060538,0.00060538,0.00060538
89,1119.8,0.55053,1.83572,0.37535,0.53027,1.05379,0.97303,0.95288,0.98282,0.92599,0.88792,0.86463,0.84955,0.45303,0.35991,2.84351,0.18449,0.36115,0.89321,0.000597754,0.000597754,0.000597754
90,1132.33,0.54286,1.82685,0.37851,0.55445,1.04725,0.98828,0.96252,0.98159,0.91869,0.86733,0.84266,0.82426,0.43732,0.36763,2.97614,0.19626,0.35127,0.90084,0.000590105,0.000590105,0.000590105
91,1144.67,0.5491,1.87803,0.37288,0.54549,1.06065,0.98433,0.96252,0.98169,0.93334,0.88698,0.86163,0.84436,0.45256,0.366,2.97997,0.17754,0.33987,0.90568,0.000582435,0.000582435,0.000582435
92,1157.07,0.52703,1.81989,0.36228,0.52916,1.04142,0.98927,0.97233,0.98264,0.94219,0.86435,0.84788,0.80741,0.43713,0.36321,2.9777,0.16763,0.3527,0.90336,0.000574746,0.000574746,0.000574746
