epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,634.502,0.58703,2.37125,0.42432,0.59997,1.0695,0.98263,0.98168,0.98372,0.90481,0.83477,0.82086,0.76166,0.3411,0.45081,3.55261,0.19558,0.39179,0.94119,0.000536081,0.000536081,0.000536081
74,642.959,0.59318,2.20944,0.42721,0.59041,1.07025,0.96723,0.96131,0.98104,0.89389,0.84593,0.8104,0.79557,0.36517,0.45595,3.64217,0.19777,0.40661,0.95272,0.000525728,0.000525728,0.000525728
75,651.528,0.58989,2.24031,0.41858,0.58442,1.08101,0.95488,0.96872,0.98393,0.91827,0.82379,0.83514,0.80019,0.36041,0.41606,3.5476,0.19828,0.37333,0.92402,0.000515366,0.000515366,0.000515366
76,661.354,0.57787,2.24272,0.42349,0.57424,1.06854,0.97708,0.95346,0.98039,0.90925,0.85153,0.82993,0.81082,0.36197,0.40425,3.48944,0.21043,0.37076,0.92412,0.000505,0.000505,0.000505
77,669.679,0.58803,2.20689,0.41136,0.58718,1.07653,0.98088,0.96252,0.98477,0.90923,0.83582,0.81847,0.79928,0.35966,0.44738,3.67227,0.18874,0.36034,0.95439,0.000494634,0.000494634,0.000494634
78,678.095,0.5706,2.23953,0.4161,0.55617,1.0674,0.97369,0.95904,0.97658,0.91113,0.88826,0.8104,0.84833,0.37546,0.40505,3.52646,0.19528,0.36276,0.91631,0.000484272,0.000484272,0.000484272
79,686.694,0.56424,2.1508,0.41992,0.546,1.07137,0.97048,0.96252,0.97472,0.90962,0.84896,0.83982,0.81781,0.3848,0.4104,3.41977,0.20235,0.34666,0.93754,0.000473919,0.000473919,0.000473919
80,695.06,0.54628,2.1465,0.42209,0.53098,1.05005,0.97374,0.96627,0.98585,0.92112,0.85962,0.83175,0.83927,0.40066,0.40891,3.34594,0.20679,0.34439,0.93307,0.000463579,0.000463579,0.000463579
81,703.63,0.56787,2.13955,0.4048,0.5706,1.06282,0.97291,0.97233,0.9863,0.91822,0.84413,0.81804,0.779,0.34683,0.38008,3.51923,0.18973,0.34839,0.8993,0.000453258,0.000453258,0.000453258
82,712.116,0.54567,2.0935,0.41273,0.54986,1.0529,0.9532,0.96123,0.97985,0.92624,0.84143,0.84775,0.81695,0.3515,0.37081,3.50735,0.17975,0.3246,0.90639,0.00044296,0.00044296,0.00044296
83,720.573,0.54914,2.10528,0.40594,0.5362,1.05645,0.9612,0.94576,0.97257,0.9074,0.83165,0.83642,0.81529,0.36838,0.39455,3.51266,0.19766,0.35326,0.9202,0.000432689,0.000432689,0.000432689
84,729.069,0.53083,2.09517,0.41019,0.52462,1.04833,0.96148,0.98213,0.98691,0.92838,0.78871,0.80464,0.7813,0.3587,0.37039,3.57122,0.18931,0.32864,0.90763,0.000422449,0.000422449,0.000422449
85,737.445,0.54419,2.06375,0.40163,0.52937,1.04284,0.96167,0.96628,0.97788,0.9206,0.81944,0.82195,0.77988,0.36531,0.36976,3.57606,0.19702,0.3125,0.90468,0.000412246,0.000412246,0.000412246
86,745.923,0.54861,2.10024,0.40783,0.5255,1.05758,0.94877,0.98213,0.98322,0.92866,0.78888,0.82195,0.78604,0.35183,0.36321,3.52637,0.17496,0.31627,0.89932,0.000402084,0.000402084,0.000402084
87,754.3,0.53939,2.15976,0.40536,0.54493,1.05317,0.95489,0.98031,0.98246,0.93583,0.83369,0.85621,0.83639,0.37889,0.36451,3.41402,0.18736,0.31489,0.90436,0.000391966,0.000391966,0.000391966
88,762.741,0.51891,2.17771,0.39547,0.5176,1.02842,0.97367,0.98034,0.98537,0.91899,0.83236,0.83687,0.79075,0.36854,0.37563,3.45175,0.18748,0.31122,0.90513,0.000381899,0.000381899,0.000381899
89,771.189,0.52231,2.05439,0.40254,0.51552,1.03088,0.96108,0.9689,0.98551,0.9333,0.84238,0.83808,0.81317,0.3564,0.36749,3.51504,0.18043,0.3259,0.8988,0.000371885,0.000371885,0.000371885
90,779.585,0.5249,2.02162,0.39561,0.52095,1.04444,0.96726,0.98121,0.98381,0.92813,0.8405,0.85164,0.81616,0.36861,0.36028,3.41369,0.17578,0.31533,0.89765,0.000361929,0.000361929,0.000361929
91,788.081,0.51997,2.05164,0.38899,0.50083,1.02954,0.95479,0.98213,0.98548,0.92617,0.82045,0.83497,0.79619,0.35757,0.37748,3.41043,0.18554,0.31111,0.9106,0.000352037,0.000352037,0.000352037
92,796.534,0.5262,2.05475,0.39196,0.50747,1.03822,0.96113,0.96252,0.97986,0.92841,0.80953,0.8104,0.76399,0.34324,0.36188,3.57303,0.17863,0.32571,0.88337,0.000342211,0.000342211,0.000342211
93,804.911,0.52202,1.99715,0.39731,0.5097,1.03483,0.95847,0.97233,0.9816,0.93982,0.84711,0.86234,0.83172,0.3843,0.33392,3.35218,0.17165,0.31369,0.8725,0.000332457,0.000332457,0.000332457
94,813.48,0.51529,2.06941,0.3962,0.49455,1.02638,0.97833,0.97023,0.98805,0.93543,0.83412,0.82657,0.79006,0.3725,0.36067,3.3678,0.18472,0.30783,0.89158,0.000322778,0.000322778,0.000322778
95,821.756,0.53453,2.01665,0.38936,0.5182,1.04577,0.98194,0.96919,0.98436,0.94262,0.82949,0.81661,0.78902,0.3716,0.36003,3.38294,0.186,0.313,0.88187,0.00031318,0.00031318,0.00031318
96,830.361,0.4999,1.98141,0.3864,0.49342,1.02289,0.98202,0.97606,0.98705,0.9468,0.82935,0.83047,0.80203,0.38844,0.34074,3.44608,0.17387,0.29596,0.87204,0.000303665,0.000303665,0.000303665
97,838.842,0.51959,2.01166,0.38454,0.50501,1.03587,0.97995,0.98213,0.98848,0.94461,0.8236,0.82369,0.79019,0.38615,0.34849,3.43348,0.17658,0.31717,0.88209,0.000294239,0.000294239,0.000294239
98,847.303,0.50091,1.97592,0.38135,0.49683,1.03175,0.96951,0.97636,0.98747,0.94091,0.84879,0.85394,0.839,0.39305,0.3374,3.33951,0.17718,0.30592,0.87843,0.000284906,0.000284906,0.000284906
99,855.679,0.49761,1.87344,0.38175,0.49304,1.03506,0.98099,0.98213,0.98804,0.94869,0.8452,0.84614,0.84946,0.40532,0.32171,3.31453,0.17386,0.28498,0.86533,0.000275668,0.000275668,0.000275668
100,864.009,0.51775,1.90316,0.39096,0.49186,1.03679,0.98178,0.98213,0.98814,0.94572,0.87427,0.87381,0.8601,0.39328,0.34771,3.26301,0.17724,0.30316,0.88135,0.000266532,0.000266532,0.000266532
101,872.471,0.47853,1.89749,0.38622,0.4935,1.02378,0.97261,0.97417,0.98909,0.94152,0.87428,0.88362,0.85912,0.39348,0.34671,3.21163,0.18213,0.2905,0.88031,0.0002575,0.0002575,0.0002575
102,880.938,0.49332,1.88874,0.38138,0.48026,1.0266,0.97552,0.97233,0.98909,0.94917,0.86649,0.86227,0.85234,0.41323,0.34478,3.28696,0.19151,0.29024,0.87599,0.000248577,0.000248577,0.000248577
103,889.54,0.49549,1.97418,0.37294,0.46496,1.02132,0.96543,0.98213,0.98746,0.94534,0.8259,0.83808,0.80265,0.38992,0.3412,3.35831,0.18781,0.28011,0.87111,0.000239766,0.000239766,0.000239766
104,898.002,0.49774,1.92611,0.37687,0.47784,1.02799,0.96643,0.98191,0.98886,0.94188,0.8292,0.83982,0.80373,0.39588,0.34285,3.28688,0.18265,0.2809,0.88075,0.000231071,0.000231071,0.000231071
105,906.347,0.49138,1.91686,0.37864,0.47434,1.02473,0.96774,0.97233,0.9882,0.94402,0.85163,0.85421,0.84097,0.40755,0.33848,3.27673,0.17771,0.27512,0.88357,0.000222497,0.000222497,0.000222497
106,914.751,0.49218,1.92586,0.38546,0.47554,1.02758,0.99101,0.96095,0.98785,0.93866,0.80906,0.8104,0.76382,0.37016,0.34201,3.41731,0.18094,0.28359,0.88462,0.000214046,0.000214046,0.000214046
107,923.107,0.46973,1.92572,0.37427,0.44375,1.00921,0.96493,0.98128,0.98802,0.94617,0.82049,0.83114,0.78604,0.39297,0.32219,3.30682,0.18106,0.27744,0.87062,0.000205723,0.000205723,0.000205723
108,931.559,0.46908,1.95189,0.37301,0.44596,1.00382,0.96917,0.97945,0.98988,0.94408,0.84575,0.85595,0.82781,0.3963,0.33861,3.25507,0.17576,0.27525,0.87656,0.000197532,0.000197532,0.000197532
109,940.028,0.46558,1.88671,0.37364,0.45183,1.00727,0.97901,0.97651,0.98884,0.94576,0.84984,0.84946,0.81845,0.3894,0.32747,3.24078,0.16967,0.27593,0.86956,0.000189475,0.000189475,0.000189475
110,949.248,0.46279,1.89623,0.36917,0.44951,1.00471,0.97318,0.97796,0.9857,0.94435,0.80591,0.81102,0.78522,0.38303,0.32931,3.40297,0.17507,0.27385,0.87392,0.000181557,0.000181557,0.000181557
111,957.666,0.46551,1.92061,0.37605,0.4502,1.01108,0.97656,0.9736,0.98541,0.9457,0.80234,0.81297,0.77282,0.38867,0.31851,3.41461,0.17113,0.26894,0.86485,0.00017378,0.00017378,0.00017378
112,966.119,0.4867,1.86516,0.37851,0.46901,1.02894,0.97637,0.97422,0.98954,0.93781,0.8147,0.782,0.76884,0.37064,0.32327,3.42119,0.16283,0.27399,0.85754,0.000166149,0.000166149,0.000166149
113,974.536,0.46952,1.87506,0.37894,0.45556,1.01075,0.9717,0.98213,0.99113,0.94665,0.83254,0.83982,0.81853,0.39353,0.31491,3.28928,0.16869,0.26955,0.85557,0.000158667,0.000158667,0.000158667
114,982.914,0.47116,1.75907,0.3687,0.47249,1.01925,0.97433,0.98213,0.99098,0.95445,0.84308,0.84788,0.81688,0.39036,0.30952,3.28752,0.18267,0.25978,0.85557,0.000151336,0.000151336,0.000151336
115,995.332,0.46033,1.90564,0.36978,0.45155,1.0114,0.97374,0.98213,0.99102,0.9472,0.81928,0.82369,0.79178,0.3842,0.31132,3.35441,0.17462,0.26536,0.86083,0.000144161,0.000144161,0.000144161
116,1003.77,0.45728,1.89949,0.36587,0.44852,1.00517,0.97038,0.98213,0.99135,0.95522,0.87075,0.88188,0.87446,0.41495,0.30931,3.24444,0.18062,0.25735,0.85714,0.000137143,0.000137143,0.000137143
